invoice_id,branch_id,pharmacist_id,customer_id,total_amount,sale_date
155,4,4,856,92.38,2025-09-21 15:47:24
156,1,1,103,44.60,2025-09-05 19:00:47
157,5,5,886,1448.36,2025-07-23 09:52:45
158,5,5,717,1335.59,2025-03-21 15:18:35
159,1,1,233,324.19,2025-03-10 06:55:36
160,1,1,688,2105.79,2025-12-23 08:56:32
161,4,4,722,995.97,2025-02-05 07:14:39
162,4,4,819,1310.20,2025-09-30 05:48:11
163,4,4,771,433.07,2025-04-14 00:38:27
164,5,5,594,1012.09,2025-07-19 23:49:09
165,3,3,265,207.14,2025-09-15 09:04:34
166,2,2,691,1934.17,2025-12-10 17:54:38
167,1,1,41,1789.53,2025-06-07 07:58:01
168,5,5,58,314.69,2025-12-21 15:28:23
169,5,5,919,1002.39,2025-03-17 06:29:25
170,1,1,643,107.18,2025-09-08 21:38:17
171,5,5,916,146.43,2025-09-27 02:12:03
172,3,3,699,221.44,2025-05-13 08:30:30
173,3,3,184,1043.08,2025-02-12 08:22:18
174,3,3,863,61.68,2025-03-14 08:46:47
175,2,2,510,2254.47,2025-11-08 11:58:02
176,2,2,169,37.82,2025-05-16 19:40:40
177,4,4,846,2474.21,2025-09-27 06:20:23
178,4,4,37,1799.96,2025-10-04 01:32:56
179,5,5,149,816.47,2025-04-25 01:19:15
180,3,3,764,2498.72,2025-04-01 01:33:28
181,1,1,142,2050.27,2025-09-12 17:02:49
182,2,2,578,761.66,2025-10-08 08:14:16
183,4,4,478,1512.43,2025-01-26 13:34:47
184,2,2,444,797.27,2025-03-23 21:55:20
185,3,3,514,1552.15,2025-08-26 22:55:16
186,2,2,319,1337.95,2025-11-29 07:49:35
187,1,1,573,8.84,2025-05-16 21:00:48
188,3,3,267,1390.07,2026-01-09 19:10:56
189,3,3,273,1760.75,2025-01-24 16:07:35
190,2,2,794,1623.74,2025-11-08 05:53:15
191,1,1,711,1243.93,2025-04-24 09:05:55
192,5,5,702,271.59,2025-09-05 22:07:25
193,3,3,989,567.03,2025-10-10 07:27:49
194,4,4,517,1198.78,2025-12-02 05:39:05
195,4,4,961,403.66,2025-05-02 01:19:41
196,2,2,905,2160.32,2025-08-04 18:48:51
197,5,5,676,273.74,2025-04-27 10:58:59
198,2,2,807,1976.73,2025-12-21 17:13:56
199,5,5,727,2613.29,2025-09-29 08:01:05
200,5,5,688,2177.81,2025-05-03 21:34:38
201,5,5,302,4155.19,2025-05-14 08:09:03
202,3,3,538,91.92,2025-09-25 15:18:27
203,3,3,964,139.20,2025-06-20 21:51:13
204,1,1,100,1138.72,2025-08-16 02:55:36
205,5,5,551,860.94,2025-07-13 12:01:46
206,3,3,728,1091.55,2025-05-06 16:59:07
207,3,3,98,708.73,2025-02-04 20:07:19
208,5,5,745,757.47,2025-09-14 00:44:03
209,1,1,801,257.86,2025-03-21 05:43:07
210,2,2,318,709.25,2025-10-09 09:12:44
211,3,3,728,3300.05,2025-10-18 00:22:56
212,1,1,512,583.96,2025-07-02 13:17:17
213,3,3,148,2545.54,2025-03-27 09:40:03
214,4,4,852,736.88,2025-10-26 23:07:34
215,3,3,151,2467.05,2025-01-31 03:41:06
216,5,5,206,149.69,2025-02-05 12:49:52
217,4,4,897,507.70,2025-06-20 10:22:44
218,4,4,714,686.67,2025-04-25 02:32:00
219,2,2,786,1898.15,2025-05-20 04:32:48
220,2,2,144,376.19,2025-06-02 23:37:36
221,1,1,86,1164.25,2025-03-25 16:53:09
222,4,4,307,1634.43,2025-02-06 17:03:28
223,1,1,376,489.43,2025-12-09 23:38:41
224,1,1,718,2073.96,2026-01-13 11:55:37
225,2,2,625,670.07,2025-12-29 16:04:29
226,4,4,494,938.08,2025-04-24 12:16:44
227,5,5,918,1138.96,2025-07-31 00:12:58
228,3,3,726,1075.37,2025-07-04 21:43:57
229,4,4,665,2260.57,2025-05-09 10:15:10
230,4,4,443,1604.69,2025-03-29 20:10:26
231,3,3,982,2719.15,2025-03-31 10:08:51
232,3,3,463,207.70,2025-08-07 20:14:05
233,2,2,851,107.74,2025-09-10 15:33:52
234,5,5,197,2406.51,2025-03-03 17:33:49
235,1,1,579,2841.40,2025-05-31 02:17:33
236,1,1,625,1660.54,2025-08-04 03:06:06
237,3,3,552,3004.42,2025-02-01 19:18:51
238,2,2,460,293.32,2025-07-01 06:49:55
239,1,1,99,2910.42,2025-11-20 00:52:59
240,3,3,151,2140.59,2025-03-08 20:48:25
241,4,4,865,1043.41,2025-04-29 22:51:11
242,2,2,631,1583.40,2025-11-16 12:52:34
243,5,5,554,2929.12,2026-01-07 17:27:36
244,2,2,660,1150.62,2025-05-09 03:33:56
245,2,2,774,2286.97,2025-03-14 03:48:17
246,1,1,331,500.15,2025-11-15 15:20:04
247,1,1,226,776.83,2025-07-10 03:38:09
248,3,3,67,441.71,2025-05-15 09:38:59
249,1,1,388,921.65,2025-10-15 04:07:59
250,5,5,68,161.59,2025-07-12 07:54:38
251,5,5,740,319.43,2025-05-21 18:35:54
252,2,2,608,1134.25,2025-07-18 04:13:46
253,4,4,670,756.27,2025-08-18 11:22:41
254,3,3,722,3722.08,2025-07-30 14:02:39
255,2,2,231,186.93,2025-12-18 18:51:44
256,4,4,319,2435.28,2026-01-20 14:48:39
257,1,1,398,474.73,2025-10-17 13:48:24
258,2,2,841,828.88,2025-11-23 12:24:15
259,5,5,364,546.84,2025-06-26 10:47:56
260,2,2,672,936.81,2025-04-13 15:26:06
261,2,2,651,3416.50,2025-05-29 07:47:07
262,3,3,87,542.87,2025-01-31 11:28:02
263,3,3,563,120.76,2025-10-07 12:07:14
264,2,2,191,93.32,2025-12-21 10:45:24
265,3,3,482,842.09,2025-05-17 10:41:08
266,2,2,227,140.24,2025-03-15 02:22:11
267,3,3,997,3385.31,2025-06-06 15:56:47
268,2,2,687,404.59,2026-01-03 19:57:10
269,3,3,833,522.59,2025-03-26 18:12:33
270,1,1,338,655.95,2025-08-10 07:29:33
271,3,3,83,1090.59,2025-09-20 01:18:54
272,4,4,742,1962.36,2025-05-20 21:31:32
273,1,1,430,2520.56,2025-04-21 22:55:22
274,1,1,83,1572.53,2026-01-10 20:39:42
275,4,4,624,1257.53,2025-10-23 15:49:06
276,4,4,739,684.12,2025-06-21 14:57:12
277,3,3,980,2154.57,2025-07-27 04:44:12
278,4,4,969,1338.01,2025-06-15 22:10:29
279,5,5,701,362.29,2025-03-09 19:46:46
280,1,1,270,1085.58,2025-05-21 06:42:16
281,2,2,579,1448.19,2026-01-05 22:51:13
282,5,5,498,353.68,2025-08-12 16:52:18
283,5,5,154,844.64,2025-02-06 11:43:36
284,2,2,565,3601.89,2025-12-18 17:21:38
285,3,3,676,123.38,2025-12-16 21:41:13
286,3,3,431,2127.39,2025-06-10 02:02:49
287,3,3,444,1445.57,2025-12-14 21:27:15
288,2,2,187,2143.45,2025-02-07 12:57:20
289,4,4,844,360.08,2025-05-22 14:52:11
290,4,4,298,958.27,2025-10-02 12:11:42
291,4,4,600,1207.28,2025-10-17 07:34:11
292,4,4,358,876.23,2026-01-12 00:32:44
293,4,4,733,1188.74,2025-08-13 11:22:04
294,1,1,263,783.81,2025-03-06 19:43:28
295,4,4,634,513.14,2025-09-11 10:54:01
296,2,2,397,1358.28,2025-10-06 01:38:37
297,1,1,913,2549.58,2025-12-09 11:32:04
298,1,1,434,102.26,2025-04-30 01:53:13
299,3,3,214,399.63,2025-10-09 06:56:31
300,5,5,802,1788.61,2025-05-02 21:04:46
301,4,4,956,1597.89,2025-12-01 01:26:39
302,2,2,720,740.43,2025-07-11 14:45:27
303,4,4,798,1736.28,2025-11-25 23:50:56
304,5,5,771,1083.72,2025-08-21 15:30:34
305,2,2,727,66.64,2026-01-05 01:15:17
306,5,5,910,2983.72,2025-06-09 03:49:20
307,4,4,879,2658.45,2025-06-12 13:29:03
308,2,2,102,148.31,2025-04-06 03:02:35
309,4,4,300,1864.61,2025-12-14 11:05:41
310,3,3,281,1255.97,2025-03-26 18:16:24
311,5,5,38,4784.98,2025-08-16 02:06:03
312,3,3,373,32.00,2025-10-19 16:17:47
313,1,1,522,2663.63,2025-07-10 02:28:18
314,2,2,175,295.60,2025-03-24 08:56:25
315,2,2,582,1969.59,2025-10-04 10:05:29
316,2,2,582,1435.13,2025-05-14 07:01:43
317,3,3,803,2743.19,2025-06-09 09:40:25
318,1,1,191,469.48,2025-09-01 18:17:49
319,3,3,303,492.09,2025-12-17 04:18:57
320,3,3,650,1195.37,2025-10-22 10:16:58
321,1,1,412,2037.24,2025-08-22 07:59:57
322,2,2,714,1194.32,2025-10-13 10:31:50
323,4,4,847,1279.01,2025-06-08 05:07:34
324,3,3,810,1391.24,2025-11-19 20:27:02
325,5,5,677,937.79,2025-12-06 21:09:09
326,1,1,102,895.15,2025-09-22 02:56:47
327,3,3,920,1638.17,2025-06-24 11:43:12
328,4,4,54,1195.83,2025-05-26 19:05:58
329,1,1,961,1856.25,2025-08-06 23:59:47
330,4,4,718,1248.44,2025-12-14 04:33:07
331,3,3,343,2055.22,2025-11-19 07:48:33
332,2,2,834,2074.65,2025-12-16 23:07:17
333,2,2,266,541.78,2025-11-18 12:17:25
334,5,5,90,2148.16,2025-03-24 15:24:37
335,3,3,181,1856.01,2025-12-27 23:14:21
336,5,5,795,1244.69,2025-02-15 12:56:12
337,1,1,675,1049.57,2025-12-19 06:33:29
338,2,2,908,3330.80,2025-07-15 22:45:45
339,3,3,706,368.56,2025-11-03 19:16:39
340,3,3,112,1683.61,2026-01-07 19:13:12
341,2,2,696,1669.49,2025-03-06 16:19:20
342,3,3,713,1332.52,2025-01-25 07:29:32
343,3,3,477,612.17,2025-05-06 11:08:18
344,5,5,3,1714.01,2025-12-02 04:01:44
345,5,5,413,672.18,2026-01-04 12:16:39
346,5,5,313,296.02,2025-10-09 06:56:13
347,5,5,734,587.01,2025-07-18 22:31:55
348,4,4,423,503.13,2025-09-17 23:55:26
349,1,1,665,1470.51,2025-06-18 12:44:37
350,2,2,84,1344.28,2025-02-20 14:04:48
351,1,1,528,60.08,2025-10-11 15:28:09
352,2,2,704,530.19,2025-10-03 16:37:23
353,5,5,69,832.69,2025-07-04 20:33:07
354,2,2,190,277.37,2025-11-08 21:42:26
355,5,5,165,127.72,2025-05-28 08:50:44
356,3,3,873,1276.83,2025-12-05 03:48:20
357,1,1,833,1807.40,2025-02-18 01:05:50
358,1,1,39,365.20,2025-07-06 12:18:56
359,2,2,417,1074.94,2025-04-24 12:26:53
360,3,3,676,1812.87,2025-10-17 00:21:51
361,5,5,4,637.00,2025-07-08 22:26:58
362,4,4,128,1158.34,2025-06-20 14:47:00
363,4,4,955,1689.46,2025-04-02 21:51:38
364,2,2,256,834.91,2025-10-16 08:39:00
365,2,2,660,1135.10,2026-01-01 12:43:35
366,3,3,304,1591.81,2025-02-04 07:19:04
367,5,5,369,462.61,2025-04-03 03:08:16
368,3,3,46,3810.59,2025-10-12 13:08:56
369,4,4,223,1565.66,2025-10-26 05:35:34
370,5,5,465,3027.53,2025-03-01 02:43:32
371,3,3,395,1797.02,2025-03-13 06:37:34
372,2,2,87,1221.94,2025-03-03 19:46:44
373,1,1,249,2023.57,2025-07-22 04:38:28
374,2,2,558,1235.77,2025-05-28 00:13:11
375,5,5,248,251.83,2025-06-20 06:20:03
376,2,2,644,1523.27,2025-07-24 05:03:13
377,2,2,513,2269.68,2025-06-03 18:39:20
378,1,1,438,1446.78,2025-03-30 10:50:48
379,1,1,252,904.38,2025-06-03 06:05:22
380,4,4,733,1266.85,2025-08-20 20:47:57
381,2,2,820,104.06,2025-03-14 15:45:40
382,4,4,772,2360.76,2025-11-05 16:43:35
383,4,4,693,1076.75,2025-06-17 19:20:18
384,5,5,282,972.75,2025-11-26 11:57:58
385,3,3,845,652.27,2025-04-20 12:50:42
386,2,2,798,307.58,2025-11-20 23:06:21
387,5,5,523,1464.37,2025-11-16 19:08:00
388,3,3,337,395.83,2025-04-19 00:05:54
389,5,5,590,2601.48,2025-02-22 05:08:52
390,3,3,451,3916.31,2025-11-08 03:37:28
391,3,3,971,2538.44,2025-05-04 21:23:38
392,4,4,762,583.39,2026-01-19 20:49:22
393,5,5,429,1445.16,2025-11-30 12:37:02
394,1,1,216,1193.89,2025-09-10 12:51:34
395,1,1,495,1655.64,2025-03-06 10:28:18
396,5,5,651,1098.72,2025-04-29 15:44:44
397,4,4,680,1266.72,2026-01-11 13:44:12
398,2,2,985,855.37,2025-11-30 11:06:18
399,3,3,908,2480.88,2025-04-27 16:40:55
400,4,4,45,451.27,2025-05-26 08:27:17
401,3,3,225,1441.30,2025-10-27 14:16:21
402,1,1,338,2304.22,2025-06-25 00:31:51
403,4,4,951,389.31,2025-08-17 23:12:50
404,1,1,579,1542.74,2025-03-27 07:19:23
405,4,4,730,1451.11,2025-01-25 14:16:20
406,1,1,162,539.94,2025-03-22 12:10:47
407,5,5,726,1503.46,2026-01-19 01:00:33
408,1,1,833,158.13,2025-11-23 19:28:25
409,5,5,18,1677.58,2025-11-02 10:52:49
410,1,1,669,798.52,2025-01-23 11:55:11
411,3,3,278,1944.25,2025-08-07 18:51:46
412,3,3,701,1384.90,2025-02-11 06:07:37
413,1,1,575,1165.37,2025-02-05 08:45:53
414,1,1,169,697.17,2025-11-29 08:25:56
415,3,3,933,241.20,2025-10-01 03:02:56
416,4,4,226,1112.11,2025-09-16 02:16:15
417,2,2,408,2337.15,2025-06-29 17:05:44
418,1,1,399,545.96,2025-03-16 05:56:08
419,2,2,223,1061.96,2025-09-28 17:36:42
420,5,5,377,1040.43,2025-12-09 11:20:12
421,4,4,1000,395.59,2025-09-17 18:28:56
422,3,3,806,968.89,2025-11-06 08:55:19
423,1,1,850,130.45,2025-05-06 07:06:47
424,3,3,70,1666.68,2025-05-13 23:28:34
425,2,2,969,452.41,2025-07-11 05:45:44
426,2,2,22,1118.34,2025-01-25 21:13:10
427,3,3,196,311.15,2025-04-10 02:13:35
428,1,1,37,1482.40,2025-03-31 13:13:41
429,2,2,357,1232.42,2025-06-01 13:29:04
430,1,1,601,1146.47,2025-11-04 12:07:45
431,5,5,11,2775.88,2025-05-02 22:52:37
432,4,4,368,898.11,2025-03-31 15:49:57
433,1,1,848,772.67,2025-08-24 20:45:05
434,4,4,130,340.94,2025-11-20 02:09:42
435,3,3,890,331.44,2025-09-27 08:56:39
436,3,3,49,1440.03,2025-07-26 17:57:20
437,5,5,794,2203.31,2025-10-24 23:41:05
438,2,2,503,2021.60,2025-08-07 03:21:56
439,1,1,975,1083.52,2025-12-29 21:33:57
440,1,1,442,2365.52,2025-05-31 21:52:06
441,4,4,132,1352.60,2025-07-30 14:24:51
442,5,5,931,824.75,2025-07-27 17:11:08
443,5,5,587,432.34,2025-05-17 19:04:05
444,4,4,649,744.49,2025-09-17 00:16:31
445,2,2,938,873.00,2025-04-28 07:39:11
446,3,3,453,313.11,2025-09-29 08:10:40
447,3,3,489,891.23,2026-01-15 00:34:09
448,3,3,809,1430.44,2025-12-31 04:49:32
449,5,5,490,2688.37,2025-05-08 01:06:10
450,5,5,976,1118.89,2025-11-28 23:42:07
451,1,1,382,2381.43,2025-11-17 07:59:25
452,5,5,911,230.28,2025-09-27 09:19:49
453,1,1,564,1635.57,2025-09-22 13:21:25
454,2,2,418,1526.10,2025-09-18 06:40:55
455,1,1,600,1080.59,2025-08-17 14:46:39
456,3,3,307,642.91,2026-01-13 06:46:38
457,3,3,158,1206.80,2025-11-24 03:42:51
458,2,2,568,1596.53,2025-08-03 16:05:25
459,2,2,168,469.48,2025-10-14 07:17:44
460,4,4,893,2055.31,2025-06-20 22:54:41
461,5,5,314,2171.37,2025-03-13 15:52:36
462,1,1,794,2111.86,2025-11-17 07:00:48
463,1,1,917,198.96,2025-07-08 15:26:26
464,1,1,84,42.53,2025-10-08 13:27:17
465,3,3,563,1352.26,2025-07-19 16:56:49
466,4,4,611,2700.32,2025-06-10 11:02:53
467,3,3,887,1454.21,2025-06-28 01:20:29
468,3,3,230,2850.88,2025-10-09 16:01:46
469,4,4,629,678.69,2025-06-25 07:47:07
470,1,1,22,466.00,2025-01-30 06:45:26
471,5,5,584,1303.85,2025-03-21 17:47:33
472,5,5,704,593.38,2025-04-07 12:56:10
473,2,2,727,1119.50,2025-02-27 06:24:19
474,2,2,895,660.38,2025-02-18 18:25:34
475,2,2,866,180.35,2026-01-19 18:45:45
476,5,5,30,1693.73,2025-07-18 17:55:47
477,3,3,733,978.93,2025-10-31 08:31:46
478,2,2,688,364.27,2025-02-26 10:13:42
479,5,5,843,432.68,2025-04-16 13:40:58
480,2,2,904,2971.43,2025-02-13 16:39:20
481,3,3,599,982.94,2025-02-28 18:24:16
482,5,5,300,1047.33,2025-03-25 21:21:29
483,4,4,737,151.07,2025-02-03 09:40:44
484,5,5,171,1135.36,2025-10-30 09:43:30
485,4,4,505,442.86,2025-11-28 15:44:48
486,5,5,375,551.31,2025-11-21 10:47:07
487,2,2,840,1457.66,2025-05-15 15:19:43
488,4,4,959,98.36,2025-03-13 17:56:59
489,1,1,315,676.10,2025-12-10 02:31:45
490,4,4,245,1188.77,2025-11-11 14:02:29
491,2,2,917,1089.51,2025-05-29 13:07:27
492,1,1,262,1580.64,2025-06-12 02:21:29
493,5,5,607,997.58,2025-11-30 17:10:17
494,4,4,182,749.76,2025-12-26 05:16:12
495,3,3,140,1427.57,2025-08-04 15:38:28
496,3,3,625,1960.59,2025-11-10 17:26:31
497,5,5,908,1691.56,2025-11-09 22:20:31
498,3,3,886,2099.11,2025-08-15 16:36:15
499,5,5,27,574.82,2025-10-20 21:49:37
500,3,3,607,886.02,2025-02-19 17:05:52
501,3,3,188,1196.30,2025-11-22 01:44:12
502,3,3,152,153.75,2025-03-09 00:01:04
503,5,5,575,1621.29,2025-08-31 10:24:46
504,2,2,101,498.99,2025-02-16 11:50:33
505,4,4,613,137.03,2026-01-04 11:52:42
506,2,2,182,1690.09,2025-02-13 07:22:05
507,5,5,609,1428.94,2025-12-07 08:39:42
508,5,5,975,1971.36,2025-07-08 22:35:20
509,3,3,594,2509.48,2025-12-08 14:57:47
510,3,3,894,2338.67,2025-07-10 19:42:11
511,2,2,408,2861.55,2025-02-27 10:36:30
512,2,2,500,357.21,2025-12-15 23:20:16
513,3,3,307,401.09,2025-03-19 20:31:52
514,2,2,319,1323.88,2025-09-25 06:49:34
515,3,3,535,1467.07,2025-07-20 16:18:38
516,4,4,659,1907.48,2025-12-25 09:14:49
517,2,2,409,1941.77,2025-12-02 05:21:17
518,5,5,237,1727.88,2025-06-30 13:02:04
519,2,2,667,2927.21,2025-12-07 18:07:32
520,1,1,367,499.12,2025-11-16 23:40:15
521,5,5,173,682.71,2025-04-19 01:05:39
522,2,2,631,1336.15,2025-08-15 19:03:14
523,2,2,371,1495.10,2025-09-11 16:14:24
524,2,2,229,3355.29,2025-10-07 23:49:30
525,2,2,762,2448.00,2025-08-16 17:09:12
526,2,2,161,1744.25,2025-11-01 21:10:36
527,2,2,193,1383.60,2025-11-13 19:50:41
528,3,3,556,2209.26,2025-10-23 21:03:56
529,3,3,541,1385.60,2025-07-14 18:54:03
530,1,1,908,2500.05,2025-11-25 23:51:01
531,1,1,337,1605.65,2025-07-03 21:30:27
532,4,4,428,1206.48,2025-03-26 01:23:20
533,5,5,464,362.94,2025-12-27 14:42:51
534,4,4,802,950.24,2025-01-29 14:49:02
535,4,4,204,873.97,2025-04-11 22:54:59
536,5,5,742,112.32,2025-05-23 18:10:06
537,2,2,18,271.34,2025-05-18 04:34:03
538,4,4,702,18.98,2025-03-29 07:39:27
539,4,4,371,291.02,2025-07-22 03:25:56
540,4,4,511,3121.25,2025-08-13 00:32:41
541,5,5,725,305.84,2025-07-28 18:43:42
542,4,4,424,195.90,2025-05-12 10:35:49
543,4,4,84,641.60,2025-02-28 14:27:26
544,1,1,75,1185.68,2025-11-23 18:02:25
