inventory_id,branch_id,batch_id,quantity,last_updated
252,2,51,63,2026-01-19 21:38:42
253,3,51,458,2026-01-20 08:20:23
254,4,51,219,2026-01-20 02:53:39
255,5,51,45,2026-01-20 04:21:57
256,1,52,278,2026-01-19 19:42:37
257,2,52,296,2026-01-20 03:02:44
258,3,52,632,2026-01-19 21:05:41
259,4,52,350,2026-01-19 15:13:05
260,5,52,317,2026-01-20 12:01:40
261,1,53,183,2026-01-19 15:56:30
262,2,53,723,2026-01-20 06:31:52
263,3,53,936,2026-01-19 20:08:44
264,4,53,734,2026-01-20 01:44:22
265,5,53,31,2026-01-19 16:12:14
266,1,54,709,2026-01-20 06:44:12
267,2,54,294,2026-01-20 13:19:06
268,3,54,87,2026-01-20 09:50:40
269,4,54,325,2026-01-19 19:44:03
270,5,54,425,2026-01-20 06:04:35
271,1,55,673,2026-01-20 05:40:01
272,2,55,235,2026-01-19 15:52:56
273,3,55,324,2026-01-20 06:05:19
274,4,55,906,2026-01-19 19:53:13
275,5,55,442,2026-01-20 13:26:02
276,1,56,676,2026-01-20 01:00:03
277,2,56,673,2026-01-19 17:58:33
278,3,56,482,2026-01-19 22:53:46
279,4,56,834,2026-01-20 07:13:07
280,5,56,140,2026-01-20 05:32:51
281,1,57,250,2026-01-19 19:26:46
282,2,57,159,2026-01-20 07:14:55
283,3,57,884,2026-01-20 12:16:57
284,4,57,371,2026-01-19 20:59:56
285,5,57,386,2026-01-20 10:29:29
286,1,58,35,2026-01-19 17:26:49
287,2,58,240,2026-01-20 13:43:46
288,3,58,344,2026-01-20 12:42:00
289,4,58,-37,2026-01-19 23:41:28
290,5,58,418,2026-01-19 15:23:13
291,1,59,270,2026-01-20 03:47:37
292,2,59,620,2026-01-20 13:25:01
293,3,59,740,2026-01-20 00:50:59
294,4,59,201,2026-01-19 19:04:20
295,5,59,191,2026-01-19 15:13:44
296,1,60,921,2026-01-20 09:07:52
297,2,60,543,2026-01-20 02:01:26
298,3,60,152,2026-01-19 20:59:59
299,4,60,559,2026-01-20 12:44:01
300,5,60,555,2026-01-19 17:36:49
301,1,61,418,2026-01-20 11:14:16
302,2,61,303,2026-01-19 19:14:51
303,3,61,107,2026-01-19 17:24:54
304,4,61,669,2026-01-20 03:47:07
305,5,61,936,2026-01-20 10:16:30
306,1,62,742,2026-01-20 06:51:16
307,2,62,569,2026-01-20 14:28:55
308,3,62,554,2026-01-20 07:55:35
309,4,62,763,2026-01-20 05:40:05
310,5,62,142,2026-01-20 06:23:57
311,1,63,944,2026-01-20 04:10:03
312,2,63,691,2026-01-20 03:05:43
313,3,63,-14,2026-01-19 22:21:33
314,4,63,226,2026-01-20 09:40:46
315,5,63,250,2026-01-20 09:54:07
316,1,64,584,2026-01-19 16:59:46
317,2,64,635,2026-01-19 15:02:40
318,3,64,611,2026-01-20 05:35:22
319,4,64,871,2026-01-20 09:23:36
320,5,64,665,2026-01-20 10:41:06
321,1,65,507,2026-01-19 17:55:23
322,2,65,-39,2026-01-20 13:34:42
323,3,65,33,2026-01-20 03:12:27
324,4,65,748,2026-01-20 05:30:12
325,5,65,2,2026-01-20 06:28:36
326,1,66,733,2026-01-20 00:29:12
327,2,66,-80,2026-01-20 02:03:51
328,3,66,946,2026-01-19 21:27:58
329,4,66,368,2026-01-20 06:27:15
330,5,66,304,2026-01-20 02:31:49
331,1,67,613,2026-01-20 09:51:47
332,2,67,223,2026-01-20 03:58:10
333,3,67,777,2026-01-19 23:04:58
334,4,67,671,2026-01-20 12:23:33
335,5,67,587,2026-01-20 04:40:36
336,1,68,538,2026-01-20 04:10:53
337,2,68,608,2026-01-20 04:28:12
338,3,68,641,2026-01-20 00:54:29
339,4,68,17,2026-01-20 05:19:38
340,5,68,148,2026-01-20 02:11:31
341,1,69,481,2026-01-20 05:38:07
342,2,69,272,2026-01-20 12:53:46
343,3,69,100,2026-01-19 20:05:23
344,4,69,79,2026-01-20 09:51:59
345,5,69,207,2026-01-20 12:09:51
346,1,70,95,2026-01-20 08:12:54
347,2,70,313,2026-01-19 16:25:07
348,3,70,995,2026-01-20 14:55:41
349,4,70,583,2026-01-19 19:40:02
350,5,70,119,2026-01-20 00:02:21
351,1,71,232,2026-01-20 11:19:59
352,2,71,376,2026-01-19 17:13:04
353,3,71,494,2026-01-20 09:16:34
354,4,71,207,2026-01-19 18:28:26
355,5,71,681,2026-01-20 08:15:10
356,1,72,794,2026-01-20 14:07:40
357,2,72,229,2026-01-20 01:28:17
358,3,72,988,2026-01-19 15:36:50
359,4,72,532,2026-01-19 18:08:43
360,5,72,428,2026-01-20 08:18:04
361,1,73,237,2026-01-20 11:06:17
362,2,73,330,2026-01-20 05:58:25
363,3,73,500,2026-01-19 22:32:11
364,4,73,917,2026-01-19 20:06:48
365,5,73,633,2026-01-19 21:29:02
366,1,74,449,2026-01-19 21:11:59
367,2,74,926,2026-01-20 13:24:54
368,3,74,630,2026-01-20 03:26:08
369,4,74,740,2026-01-19 23:05:33
370,5,74,569,2026-01-20 13:11:37
371,1,75,918,2026-01-20 02:21:55
372,2,75,515,2026-01-20 06:07:52
373,3,75,953,2026-01-19 19:09:10
374,4,75,95,2026-01-20 11:06:26
375,5,75,125,2026-01-20 01:29:36
376,1,76,258,2026-01-20 00:43:51
377,2,76,-70,2026-01-19 16:07:42
378,3,76,905,2026-01-20 05:28:16
379,4,76,921,2026-01-20 01:02:55
380,5,76,783,2026-01-20 01:31:16
381,1,77,792,2026-01-20 04:19:31
382,2,77,-47,2026-01-20 09:40:43
383,3,77,859,2026-01-19 17:10:56
384,4,77,913,2026-01-20 11:36:32
385,5,77,754,2026-01-20 12:26:43
386,1,78,291,2026-01-20 08:07:28
387,2,78,547,2026-01-20 08:20:42
388,3,78,719,2026-01-20 00:24:34
389,4,78,633,2026-01-20 02:40:40
390,5,78,629,2026-01-19 16:09:23
391,1,79,830,2026-01-19 22:19:52
392,2,79,522,2026-01-20 02:26:58
393,3,79,19,2026-01-19 15:57:14
394,4,79,954,2026-01-20 10:15:39
395,5,79,899,2026-01-20 10:35:03
396,1,80,745,2026-01-19 23:11:54
397,2,80,88,2026-01-20 01:49:13
398,3,80,668,2026-01-20 03:28:38
399,4,80,581,2026-01-19 15:49:24
400,5,80,943,2026-01-20 10:08:06
401,1,81,155,2026-01-20 00:29:07
402,2,81,711,2026-01-19 21:34:18
403,3,81,982,2026-01-20 02:54:33
404,4,81,397,2026-01-19 19:18:40
405,5,81,310,2026-01-19 22:08:35
406,1,82,758,2026-01-20 08:56:14
407,2,82,76,2026-01-20 02:18:42
408,3,82,476,2026-01-20 14:04:46
409,4,82,857,2026-01-20 08:25:24
410,5,82,287,2026-01-20 01:38:17
411,1,83,709,2026-01-20 04:25:25
412,2,83,875,2026-01-19 23:23:47
413,3,83,276,2026-01-20 13:12:12
414,4,83,506,2026-01-19 22:09:01
415,5,83,425,2026-01-20 02:45:21
416,1,84,135,2026-01-19 23:56:13
417,2,84,367,2026-01-19 21:01:57
418,3,84,471,2026-01-20 11:15:17
419,4,84,843,2026-01-19 19:09:18
420,5,84,998,2026-01-20 01:01:14
421,1,85,770,2026-01-19 16:55:28
422,2,85,110,2026-01-20 02:25:54
423,3,85,-87,2026-01-20 10:08:34
424,4,85,927,2026-01-20 06:14:00
425,5,85,811,2026-01-20 00:49:13
426,1,86,659,2026-01-20 14:30:07
427,2,86,930,2026-01-19 19:24:37
428,3,86,173,2026-01-20 09:03:32
429,4,86,4,2026-01-19 15:59:45
430,5,86,247,2026-01-19 15:41:41
431,1,87,332,2026-01-20 03:59:57
432,2,87,78,2026-01-19 17:25:49
433,3,87,777,2026-01-20 11:07:58
434,4,87,169,2026-01-19 20:24:18
435,5,87,84,2026-01-20 11:12:52
436,1,88,621,2026-01-20 03:32:17
437,2,88,817,2026-01-20 14:02:22
438,3,88,137,2026-01-19 18:35:04
439,4,88,497,2026-01-20 03:14:08
440,5,88,421,2026-01-19 15:35:50
441,1,89,770,2026-01-20 00:02:10
442,2,89,595,2026-01-19 17:23:32
443,3,89,318,2026-01-20 12:16:16
444,4,89,451,2026-01-20 07:57:25
445,5,89,624,2026-01-19 19:09:27
446,1,90,951,2026-01-20 05:57:26
447,2,90,518,2026-01-20 06:07:16
448,3,90,334,2026-01-20 13:10:57
449,4,90,267,2026-01-20 04:25:14
450,5,90,788,2026-01-20 03:34:04
451,1,91,257,2026-01-20 11:24:41
452,2,91,421,2026-01-19 15:11:27
453,3,91,717,2026-01-20 02:28:51
454,4,91,117,2026-01-19 18:21:10
455,5,91,496,2026-01-19 22:55:31
456,1,92,576,2026-01-20 01:22:45
457,2,92,192,2026-01-20 10:50:25
458,3,92,770,2026-01-19 19:39:42
459,4,92,644,2026-01-20 14:29:24
460,5,92,75,2026-01-19 23:29:30
461,1,93,502,2026-01-20 02:08:08
462,2,93,464,2026-01-20 06:24:11
463,3,93,843,2026-01-19 15:25:54
464,4,93,22,2026-01-19 21:51:31
465,5,93,855,2026-01-20 06:00:09
466,1,94,27,2026-01-20 14:40:01
467,2,94,683,2026-01-20 06:15:23
468,3,94,670,2026-01-19 23:13:21
469,4,94,197,2026-01-19 18:59:24
470,5,94,182,2026-01-19 18:30:48
471,1,95,941,2026-01-20 10:34:40
472,2,95,312,2026-01-20 08:59:10
473,3,95,561,2026-01-20 04:45:56
474,4,95,206,2026-01-19 19:11:06
475,5,95,433,2026-01-20 04:43:58
476,1,96,776,2026-01-19 16:55:59
477,2,96,976,2026-01-19 19:06:05
478,3,96,158,2026-01-19 17:57:43
479,4,96,333,2026-01-20 14:37:41
480,5,96,501,2026-01-19 20:03:18
481,1,97,963,2026-01-19 19:31:39
482,2,97,183,2026-01-19 16:20:55
483,3,97,40,2026-01-20 01:26:02
484,4,97,457,2026-01-20 00:24:48
485,5,97,812,2026-01-19 20:50:18
486,1,98,479,2026-01-20 10:54:13
487,2,98,568,2026-01-19 16:40:55
488,3,98,12,2026-01-19 17:05:01
489,4,98,473,2026-01-19 16:51:01
490,5,98,824,2026-01-19 20:50:07
491,1,99,927,2026-01-20 13:30:02
492,2,99,797,2026-01-20 07:09:46
493,3,99,520,2026-01-19 20:25:47
494,4,99,154,2026-01-19 16:41:57
495,5,99,697,2026-01-20 07:15:49
496,1,100,740,2026-01-20 07:49:27
497,2,100,422,2026-01-19 18:59:14
498,3,100,936,2026-01-19 23:51:37
499,4,100,498,2026-01-19 21:49:34
500,5,100,811,2026-01-19 19:15:11
501,1,101,175,2026-01-20 08:25:49
502,2,101,856,2026-01-19 16:23:04
503,3,101,655,2026-01-20 12:28:52
504,4,101,969,2026-01-19 21:14:29
505,5,101,928,2026-01-20 05:15:53
506,1,102,848,2026-01-20 11:55:35
507,2,102,321,2026-01-20 11:17:30
508,3,102,106,2026-01-19 18:07:38
509,4,102,887,2026-01-19 18:20:27
510,5,102,709,2026-01-19 15:41:18
511,1,103,556,2026-01-20 14:28:22
512,2,103,951,2026-01-19 15:55:50
513,3,103,505,2026-01-20 06:10:10
514,4,103,149,2026-01-19 15:21:14
515,5,103,686,2026-01-19 19:54:02
516,1,104,189,2026-01-20 04:48:19
517,2,104,821,2026-01-19 17:52:15
518,3,104,538,2026-01-20 05:23:43
519,4,104,411,2026-01-20 13:39:13
520,5,104,103,2026-01-20 10:22:42
521,1,105,820,2026-01-19 18:49:13
522,2,105,813,2026-01-20 13:31:35
523,3,105,386,2026-01-20 13:50:39
524,4,105,659,2026-01-20 05:34:38
525,5,105,954,2026-01-20 00:37:44
526,1,106,564,2026-01-20 00:47:54
527,2,106,377,2026-01-20 09:15:18
528,3,106,965,2026-01-19 17:11:34
529,4,106,769,2026-01-20 06:15:22
530,5,106,237,2026-01-20 07:26:33
531,1,107,329,2026-01-19 22:45:04
532,2,107,541,2026-01-20 10:58:00
533,3,107,721,2026-01-20 07:05:53
534,4,107,92,2026-01-19 22:12:15
535,5,107,772,2026-01-19 16:50:09
536,1,108,121,2026-01-19 19:25:45
537,2,108,376,2026-01-20 01:24:20
538,3,108,80,2026-01-20 02:15:53
539,4,108,848,2026-01-19 16:04:44
540,5,108,665,2026-01-20 14:04:38
541,1,109,953,2026-01-20 08:36:26
542,2,109,410,2026-01-20 05:46:12
543,3,109,436,2026-01-20 13:33:39
544,4,109,200,2026-01-19 23:29:46
545,5,109,375,2026-01-20 00:12:37
546,1,110,48,2026-01-19 20:29:38
547,2,110,739,2026-01-20 03:53:16
548,3,110,114,2026-01-19 18:09:13
549,4,110,798,2026-01-20 09:20:21
550,5,110,166,2026-01-20 03:58:36
551,1,111,295,2026-01-20 13:47:19
552,2,111,703,2026-01-20 09:51:19
553,3,111,454,2026-01-20 00:58:39
554,4,111,177,2026-01-20 13:14:09
555,5,111,81,2026-01-20 11:25:23
556,1,112,754,2026-01-20 08:32:08
557,2,112,335,2026-01-20 05:18:03
558,3,112,42,2026-01-19 18:18:37
559,4,112,833,2026-01-19 19:21:58
560,5,112,7,2026-01-20 02:28:38
561,1,113,269,2026-01-20 14:42:38
562,2,113,252,2026-01-20 13:50:56
563,3,113,583,2026-01-20 03:31:29
564,4,113,545,2026-01-19 17:31:09
565,5,113,895,2026-01-19 22:54:47
566,1,114,43,2026-01-20 07:35:42
567,2,114,491,2026-01-20 00:55:36
568,3,114,276,2026-01-20 03:23:23
569,4,114,387,2026-01-20 10:29:37
570,5,114,188,2026-01-19 20:56:14
571,1,115,260,2026-01-20 14:43:27
572,2,115,867,2026-01-19 21:18:10
573,3,115,724,2026-01-19 16:22:43
574,4,115,138,2026-01-20 02:30:26
575,5,115,943,2026-01-19 22:46:54
576,1,116,790,2026-01-20 06:50:55
577,2,116,118,2026-01-19 19:45:09
578,3,116,124,2026-01-20 06:31:48
579,4,116,356,2026-01-19 16:29:52
580,5,116,-12,2026-01-19 20:52:02
581,1,117,470,2026-01-20 05:09:10
582,2,117,977,2026-01-20 07:12:15
583,3,117,536,2026-01-19 18:58:50
584,4,117,485,2026-01-19 18:42:39
585,5,117,300,2026-01-20 06:18:57
586,1,118,683,2026-01-19 20:02:09
587,2,118,726,2026-01-19 16:30:18
588,3,118,903,2026-01-19 20:30:40
589,4,118,704,2026-01-20 03:36:49
590,5,118,637,2026-01-19 16:08:53
591,1,119,704,2026-01-19 16:50:20
592,2,119,525,2026-01-20 00:52:58
593,3,119,745,2026-01-19 20:47:50
594,4,119,662,2026-01-20 07:09:00
595,5,119,224,2026-01-20 07:03:58
596,1,120,522,2026-01-20 07:54:48
597,2,120,406,2026-01-19 21:18:21
598,3,120,998,2026-01-19 18:00:08
599,4,120,329,2026-01-20 13:56:14
600,5,120,398,2026-01-19 19:11:00
601,1,121,587,2026-01-19 21:39:45
602,2,121,284,2026-01-20 03:50:34
603,3,121,265,2026-01-19 15:14:25
604,4,121,339,2026-01-20 05:57:42
605,5,121,955,2026-01-19 15:52:00
606,1,122,687,2026-01-19 20:16:53
607,2,122,159,2026-01-20 07:42:23
608,3,122,363,2026-01-20 03:12:18
609,4,122,347,2026-01-20 09:31:33
610,5,122,7,2026-01-19 21:15:21
611,1,123,-30,2026-01-20 07:56:44
612,2,123,537,2026-01-20 08:33:36
613,3,123,809,2026-01-20 02:57:36
614,4,123,337,2026-01-20 00:26:48
615,5,123,720,2026-01-20 06:49:13
616,1,124,153,2026-01-20 13:16:33
617,2,124,927,2026-01-20 01:01:01
618,3,124,257,2026-01-20 05:54:34
619,4,124,647,2026-01-20 03:42:46
620,5,124,102,2026-01-19 21:29:02
621,1,125,870,2026-01-19 22:28:16
622,2,125,767,2026-01-20 06:49:22
623,3,125,198,2026-01-20 09:34:42
624,4,125,876,2026-01-20 00:41:40
625,5,125,-85,2026-01-20 12:46:41
626,1,126,748,2026-01-20 09:48:43
627,2,126,696,2026-01-20 09:43:12
628,3,126,707,2026-01-20 06:09:27
629,4,126,465,2026-01-20 10:46:14
630,5,126,611,2026-01-20 08:09:18
631,1,127,746,2026-01-20 04:16:29
632,2,127,776,2026-01-19 17:49:48
633,3,127,858,2026-01-20 05:51:28
634,4,127,343,2026-01-20 01:46:20
635,5,127,133,2026-01-20 02:31:25
636,1,128,529,2026-01-20 06:06:23
637,2,128,868,2026-01-20 04:44:46
638,3,128,814,2026-01-20 04:34:07
639,4,128,25,2026-01-20 09:47:56
640,5,128,783,2026-01-20 05:35:00
641,1,129,903,2026-01-19 18:13:24
642,2,129,162,2026-01-20 13:04:55
643,3,129,788,2026-01-19 20:13:33
644,4,129,196,2026-01-19 15:57:41
645,5,129,434,2026-01-19 20:20:53
646,1,130,585,2026-01-19 16:41:20
647,2,130,585,2026-01-19 18:14:44
648,3,130,397,2026-01-20 04:47:33
649,4,130,18,2026-01-20 05:55:53
650,5,130,21,2026-01-20 14:19:59
651,1,131,-89,2026-01-20 08:36:03
652,2,131,37,2026-01-19 18:37:58
653,3,131,986,2026-01-20 00:03:39
654,4,131,751,2026-01-20 01:10:20
655,5,131,483,2026-01-19 18:54:20
656,1,132,886,2026-01-20 10:06:19
657,2,132,173,2026-01-19 20:25:37
658,3,132,144,2026-01-20 07:04:53
659,4,132,903,2026-01-20 12:04:36
660,5,132,812,2026-01-20 03:09:16
661,1,133,73,2026-01-19 19:00:55
662,2,133,566,2026-01-19 20:38:21
663,3,133,433,2026-01-20 01:13:01
