batch_id,medicine_id,batch_number,manufacturing_date,expiry_date,import_price
52,13,JGWPNABKM2,2022-07-18,2024-02-27,37.04104365067899
53,14,CP9PTXHXRZ,2020-11-16,2024-11-21,59.816322842833046
54,14,UYDGBEKNIH,2022-03-15,2024-05-13,69.05211354575155
55,14,WFYGKW72FB,2023-02-15,2024-08-18,97.64110777287894
56,14,JFI8UMUGXN,2021-03-12,2027-05-31,63.292702008536814
57,15,GZFWJKYTGB,2023-11-22,2025-08-23,21.937418229649595
58,15,3DBLFAK1RJ,2021-08-03,2024-03-02,33.33011416714429
59,15,BMUDIUKHIL,2021-03-27,2026-11-28,25.852180998935697
60,15,4WPMOGN6QT,2022-03-04,2025-02-18,6.014944129220085
61,16,V5LU0SGCF6,2021-06-14,2026-11-23,21.94869087623903
62,16,9DEEENPBWM,2022-09-11,2025-04-08,44.78520166080554
63,16,KOBFUPZAGO,2021-05-18,2025-04-17,63.5923921675566
64,16,T71NMO2KUB,2022-11-04,2027-02-21,90.59476661051922
65,17,NLA6ZMQMCA,2022-11-02,2024-09-10,89.53773032437716
66,17,WCQ5OZ6F22,2020-09-26,2026-08-10,65.808168810271
67,17,D1RMKD5IW4,2020-08-31,2026-09-13,14.988562462820774
68,17,ETKZRDN5JU,2020-02-11,2027-10-04,25.36300979877394
69,18,GRIHQZ0SUC,2023-06-13,2027-01-03,80.65315208472194
70,18,UPPXCKEWP4,2021-06-21,2024-01-03,67.75807435891825
71,18,SFRVXNERPH,2020-06-22,2025-03-20,9.881284001474697
72,18,IZ2C5PKCOI,2020-11-05,2026-08-02,38.678379187544024
73,19,T2CN3WOIBS,2020-05-13,2024-06-28,6.181923249109985
74,19,ULABM18QDM,2023-03-31,2025-01-19,38.630034270436916
75,19,TBZ6T0NJE8,2021-06-16,2026-10-25,10.515068077063523
76,19,RZZQ2ZUAMP,2021-11-20,2024-11-07,4.141969057534931
77,20,360YXLB7R7,2023-04-15,2025-04-24,69.755466151957
78,20,LFSKWOEIOP,2021-02-02,2025-08-20,30.072822528287773
79,20,3PO1TLEPDJ,2020-08-22,2025-05-25,59.927820117830485
80,20,GJUNSYCSHO,2022-10-20,2024-10-11,53.15961526342029
81,21,RKRJUES4TQ,2022-02-13,2025-10-18,82.52373756735322
82,21,ZALC9FAU6C,2020-06-19,2025-11-09,93.50917812948283
83,21,MAN6IRPREQ,2023-06-14,2027-03-08,95.57808767859449
84,21,G6GJPWK42S,2023-05-27,2024-06-24,83.82269899040462
85,22,TARIHWTY3K,2021-12-29,2024-12-16,40.15610451591001
86,22,GOZVKSIVSW,2021-10-29,2024-02-03,96.5364952081665
87,22,VBJFUVANLO,2022-10-10,2026-10-11,51.6196649710963
88,22,TOMJHIUJXK,2020-10-31,2025-12-23,87.17693835838287
89,23,D4F9JDSBYL,2023-08-07,2026-04-13,59.79356132644914
90,23,OHAORDH99H,2023-01-19,2026-11-27,42.085025185784154
91,23,BFOHWHPBMY,2023-04-05,2025-09-15,86.84177920334918
92,23,UJ2FCP7SVV,2023-04-06,2026-01-27,70.74343270198938
93,24,3BEAZJFBQY,2022-08-13,2024-10-31,60.81651747153482
94,24,KNCKA4P6NG,2021-11-18,2025-01-19,64.14879653806273
95,24,M2OQQCBUTB,2021-01-30,2025-08-31,6.4965235509064465
96,24,XJS7VVYW76,2020-06-03,2024-01-04,13.322676087768162
97,25,YDPT0IHIVA,2023-01-13,2025-03-23,81.20624100537098
98,25,JT0KOPPCMT,2022-11-04,2027-05-01,43.205189565751134
99,25,OHYWUR2JEY,2022-04-01,2024-03-01,17.87793034507165
100,25,BAEDGLCA4M,2022-06-07,2026-12-13,72.25821394111192
101,26,GYGOWEXSLZ,2020-11-12,2027-03-07,41.43997895768514
102,26,17KH8NZIAJ,2022-06-23,2025-06-28,39.42519294928545
103,26,JTM1POBLBH,2022-02-25,2026-05-15,60.31530806137408
104,26,OHIUNNFIMN,2020-05-17,2027-11-30,5.311735858633785
105,27,YIQH7FCHY2,2022-06-08,2027-11-27,65.27664405057386
106,27,DGQHA6VLOV,2020-04-06,2027-01-28,15.586894804819586
107,27,RNCI1L1AGL,2022-04-15,2026-01-27,79.43409863095167
108,27,NYHGCWZZIW,2022-11-10,2026-12-02,96.05270771981894
109,28,GT7VMKAFKT,2022-07-12,2027-03-04,62.29370758973562
110,28,N2FIRZY61B,2021-07-12,2027-02-21,68.36939441274808
111,28,KZ09XS83PX,2021-12-11,2027-04-24,70.06719730274587
112,28,BHQUUKPPTR,2022-08-17,2026-05-26,53.40407732485341
113,29,SPHMWHUOLA,2021-12-11,2027-10-10,30.747993513095597
114,29,HNX4BTPNU2,2023-01-02,2024-03-08,17.384268033051843
115,29,IGL6HKC554,2022-01-22,2025-09-15,86.54703172911374
116,29,MQBH9XBO1X,2022-05-28,2025-03-27,99.97886890643139
117,30,TAIHGAG2HU,2020-07-15,2025-11-16,74.9800059199439
118,30,KHDXYCGNTV,2021-03-15,2027-01-09,50.701852060936716
119,30,TWTGJIIDB6,2021-07-30,2024-10-31,61.422865697247424
120,30,2KUNBNSPQM,2020-09-13,2026-07-30,15.654625310049244
121,31,ASEBGM5QSI,2022-12-19,2025-06-28,29.57034740741324
122,31,K5XGAB99TZ,2022-10-08,2027-04-08,2.4441522225526784
123,31,ORJLHUNDPS,2020-01-08,2027-10-31,3.4669167981868267
124,31,JZSPLNIOSD,2021-01-13,2027-09-09,77.5875520158626
125,32,BF5XWLCESI,2021-08-13,2025-12-23,6.416755757336447
126,32,X4BQUKZWRH,2023-10-20,2025-11-04,45.40192420771531
127,32,LRT9GKFZX0,2020-01-04,2026-12-21,84.84202150974312
128,32,YEFRLWER9B,2023-03-01,2027-02-27,44.40866386146517
129,33,QMPL7QECLZ,2020-02-02,2025-01-23,78.67957620421859
130,33,CJHSUPC7C0,2023-02-01,2027-03-27,93.01789471475321
131,33,DDHWM4XMIG,2022-12-24,2025-11-09,80.33672799179737
132,33,MRQIVOPMCF,2020-06-03,2027-05-09,4.157060718986784
133,34,BCT4XP4XFX,2022-03-02,2025-04-07,40.07373099230662
134,34,8HMMA5NQ2G,2020-01-18,2027-05-08,26.70752328476177
135,34,6VB98ISSNA,2020-05-04,2027-10-01,43.798077568970214
136,34,GRUBMIWL62,2021-11-20,2026-03-31,20.435938646554145
137,35,HRQS2J9VQO,2020-04-19,2025-11-06,84.10186792991556
138,35,PHN883KIO6,2022-06-17,2024-06-17,59.791338014874555
139,35,MMLETSXAET,2021-09-18,2026-05-08,68.94203644525801
140,35,DXD0OIUXVK,2023-11-03,2027-11-20,78.92124012550657
141,36,PQLB7LBNQM,2023-03-14,2025-01-26,81.38995123957835
142,36,GGJMCNZGY9,2022-11-06,2026-09-10,81.22813512486759
143,36,DI9SVOOVW1,2021-01-29,2027-09-25,40.07982802608254
144,36,EHPMTI3SC3,2023-10-10,2027-12-17,39.25679980661125
145,37,O3FLAQE8AO,2023-12-29,2027-10-21,79.43436239952241
146,37,H5XYV91GWU,2023-08-05,2027-04-21,86.81859259223947
147,37,CTTQ9KKRBO,2023-12-30,2027-03-23,53.526506007921384
148,37,TPSQLMVQTH,2020-01-28,2024-10-01,90.79815438688523
149,38,7HPU4SCUMT,2021-10-12,2025-03-22,62.704109376965654
150,38,5LJFNRVWNG,2021-01-07,2027-04-12,57.39551614082439
151,38,YL5TMHRA1O,2020-06-23,2027-02-12,39.59933413171334
152,38,NNBMMR1GYP,2022-11-18,2025-03-27,97.90133019956248
153,39,OVNGKTYQTJ,2023-04-04,2027-03-24,98.7661806120583
154,39,IM8CE7CYRH,2022-11-10,2027-01-01,33.58270398426865
155,39,K8ANGBG5IY,2023-04-09,2027-09-14,43.30553704583715
156,39,UGWFI63393,2021-07-07,2024-10-16,48.43230653135721
157,40,BC6NVUVDPD,2022-11-06,2024-06-03,57.25396542695284
158,40,7NBGRLLNKC,2022-02-27,2025-03-14,53.10579710881429
159,40,UKESIGZLTD,2020-09-24,2025-10-02,38.055047374359596
160,40,MF4BQDCL4T,2023-02-11,2025-05-29,23.658125202591663
161,41,7SIP3OZC1M,2023-06-26,2025-07-06,13.089913310363382
162,41,QOKVR75SAK,2023-12-19,2026-05-29,38.51365618846892
163,41,GRXRRAV47Z,2020-02-22,2024-04-04,90.35531403686652
164,41,JZDUU9R9YR,2021-07-01,2026-11-22,99.45169368965708
165,42,NGN38T6WMF,2023-11-29,2027-10-15,15.120997742322336
166,42,7OAP5PQMQ8,2020-05-23,2026-03-29,48.76066779228528
167,42,N7CMOCAJCW,2020-02-18,2027-04-25,9.401597411115665
168,42,VTGQZWQOGT,2020-11-01,2026-07-22,63.04940328944022
169,43,J7NYJ2TCRT,2021-03-07,2024-09-02,45.6290097581868
170,43,5ZNER6LLTN,2023-01-24,2024-07-28,47.218216638122385
171,43,KDWVSQMAFH,2023-04-08,2024-01-26,2.322551266557506
172,43,DY83TPII9Q,2021-02-15,2025-01-18,76.75139169244547
173,44,TXTSSPCYQT,2021-10-23,2025-03-07,54.29344305451714
174,44,D2EUTJAXWV,2022-08-08,2024-07-19,89.94620422693036
175,44,QRVSU9KNN6,2021-12-18,2027-11-21,79.29346837105035
176,44,B3SVH6JPPB,2022-03-28,2026-12-29,1.4850984540864722
177,45,UFWHTVLIJP,2022-06-28,2025-12-25,65.41352159373774
178,45,UVKS0OMMFV,2022-12-03,2026-06-01,47.83512235833357
179,45,VXCD1ZL2F1,2023-01-18,2024-05-30,66.14400076317206
180,45,FQ8JUWGWJJ,2023-06-06,2026-06-29,77.78631363472874
181,46,WCQGHOFORF,2023-11-17,2025-09-06,13.85972860841732
182,46,3SQEN5B0TM,2022-01-29,2024-07-04,47.090648125569665
183,46,SGHIXGDVWK,2023-03-13,2025-12-14,91.99629646574036
184,46,T9UZPWJDVR,2023-03-31,2026-05-18,3.3097715167676953
185,47,N5RHNSDUS7,2023-02-28,2025-04-12,40.285551163135345
186,47,RWX4LUKS7J,2021-07-09,2025-05-07,73.09771899670541
187,47,ADRIONSVIK,2021-03-09,2024-11-17,18.759731039857016
188,47,AS7GHNOAZA,2021-07-10,2024-02-01,56.27567014995217
189,48,1XXVEIEGH7,2022-11-23,2024-02-13,95.67686209363268
190,48,1YIPEA5KF5,2023-05-12,2024-01-07,70.96031353252897
191,48,M3SMX3IZXB,2023-04-14,2025-09-01,98.59248194913775
192,48,5NCLCQV4E3,2021-11-02,2027-07-29,28.116294010228785
193,49,TBG3BFG85P,2022-08-18,2024-02-08,33.298646002899176
194,49,AV2JBHJT2Q,2021-02-13,2027-11-01,79.96195806790759
195,49,GYUZJRZSEG,2021-12-29,2025-07-20,80.1651537034016
196,49,UUT43OJ1IT,2020-06-20,2027-08-20,33.35477336563375
197,50,HIARDU9XJE,2020-05-19,2026-08-09,9.455755855034335
198,50,ROSVFYBFIB,2023-12-16,2027-10-12,20.269245183602266
199,50,X3PXT7UH96,2023-12-27,2025-12-20,34.23666196960075
200,50,YJNQ9TOSLO,2021-08-20,2026-06-16,71.60315959190513
201,51,8HMSKQYQKQ,2023-12-08,2026-07-22,3.561676037263102
202,51,MN4FZOYQHA,2020-10-27,2026-09-29,56.278922698173325
203,51,FFM33JUYPQ,2022-01-24,2027-03-10,98.3335342872893
204,51,P4YVYFXJ2F,2021-08-25,2024-06-11,25.58860642946652
205,52,3MQGODZC4X,2023-07-04,2026-04-16,70.43122012396803
206,52,6JFOJYVI7K,2021-03-18,2025-02-08,26.479308698765468
207,52,P8VCPR8PLH,2022-01-01,2027-10-20,92.54954561334378
208,52,G0ZM7CJWLP,2020-10-13,2026-11-26,64.23957686129395
209,53,7EWFCYB4EK,2023-07-02,2024-05-03,27.526527811679518
210,53,D3GIZZDG4G,2023-09-23,2027-09-12,26.246559597467737
211,53,KRYSUS3PFB,2023-10-29,2027-09-01,92.48519970795915
212,53,E6JUJKS39G,2021-01-17,2027-03-27,50.56560223726251
213,54,N4NOGSPVQV,2023-11-24,2025-06-14,7.703179421864389
214,54,OULNZ7RIU6,2020-10-13,2026-11-18,64.58643725853861
215,54,JYDQORNVZE,2020-04-18,2024-07-25,96.54784069140622
216,54,CMPUNWETYR,2021-01-31,2026-08-29,12.153698366896839
217,55,QZEKM3EUFI,2020-08-25,2024-12-09,82.66464887371843
218,55,LAA7ZDOREK,2020-11-16,2026-03-04,36.95060381315289
219,55,3FLMYZYFA6,2023-05-01,2027-08-07,35.770997714684086
220,55,G5OU9MZLQS,2020-04-10,2025-06-29,28.953040881587214
221,56,JZ7QAHYG9U,2021-09-29,2026-06-21,45.85906971714064
222,56,UUW3W3KNSJ,2022-10-25,2024-02-15,83.67460185801924
223,56,L2LBYQ6PGA,2020-06-02,2024-12-03,59.21008843193639
224,56,JP1GZDVTVT,2022-09-19,2024-06-12,42.549792627923445
225,57,SH8QV3XVFO,2021-02-11,2027-07-14,76.4045172932915
226,57,CBWF14NVNL,2020-06-05,2024-07-01,19.98429693623807
227,57,BF8EO883YR,2021-07-07,2025-05-09,54.61512547500561
228,57,N54BG8VPYV,2023-07-25,2024-01-24,28.794194572367836
229,58,D3LYR5U67L,2020-03-18,2025-01-04,67.42954425101578
230,58,ONQTSUU4RR,2020-05-28,2025-08-15,73.34145925960794
231,58,W9DOIGGFH5,2022-03-24,2025-08-13,46.62218300892597
232,58,3XYKHCXEMM,2022-05-25,2025-02-06,93.54388219448573
233,59,OYOLUSTKNZ,2020-05-23,2026-09-13,48.86294058784571
234,59,EGKYYOLDDA,2023-01-12,2026-09-01,29.357362949764926
235,59,EGQZJB5MM1,2022-08-25,2025-09-11,76.65419055847875
236,59,H7M0VWRG1Y,2023-04-06,2024-06-25,52.54881405801152
237,60,VMY5233SKY,2022-02-05,2026-10-01,29.80956457189512
238,60,4Q1XFROBLS,2023-02-14,2024-10-22,29.713369277319885
239,60,N2R30WKPIZ,2023-01-23,2025-02-05,19.791670653509552
240,60,2FNGAPTD9P,2020-03-29,2027-08-01,50.83220253881948
241,61,XCWSQOVAM6,2021-08-19,2025-11-26,67.56126825763845
242,61,2XSYYECK19,2020-11-18,2025-03-14,89.55373655055106
243,61,1RQHK91GZX,2021-11-22,2024-01-04,91.68981347742535
244,61,G9ZBG9AKBL,2023-05-10,2026-12-19,92.01036834037846
245,62,TFGKP813EW,2020-05-19,2027-12-10,75.97847258691678
246,62,4I1RTPI59O,2023-01-04,2024-07-06,74.12395017589677
247,62,8LRJHEOI5Q,2022-07-09,2026-07-12,28.99277786542985
248,62,53OA5UETJ2,2020-02-21,2024-02-03,93.50366792412491
249,63,7V9TLBGJFR,2021-12-21,2025-08-21,46.89261000542156
250,63,YYKNPUUXKX,2020-04-25,2026-04-09,73.31819029050274
251,63,V4RAHFQFHU,2023-08-31,2024-10-21,68.34320743158018
252,63,CSNGR7TVTI,2022-07-16,2024-12-26,22.73781653164498
253,64,KAZOD488LG,2021-09-29,2026-11-06,84.63608648848897
254,64,KY5HUU15CL,2021-02-12,2024-02-22,12.463494811876311
255,64,X1SEE3CLJK,2022-04-30,2027-09-11,49.420283159197474
256,64,4PNVNYGF7U,2021-11-16,2027-02-26,71.14616641699472
257,65,EVBEWAYSV9,2021-06-21,2025-05-11,59.50758329819875
258,65,HVADZWK6KJ,2022-10-21,2025-10-23,32.743534902355655
259,65,FGPZ0R7FJ7,2021-10-03,2025-01-03,84.24533094963206
260,65,JBZIBSIANB,2022-07-06,2025-02-13,55.64388513784273
261,66,E4FW520PSE,2020-04-03,2027-03-26,26.10074810595313
262,66,OXESKSV4XW,2023-09-17,2024-08-27,56.45854840127461
263,66,LEEEA9VB22,2021-01-20,2026-07-02,8.526405550536822
264,66,4IL1NDJC2C,2021-04-07,2026-04-10,64.85252571809966
265,67,FMIS9SL1SL,2023-11-18,2027-06-17,2.4626206975020946
266,67,FWAZ19YD3P,2020-07-25,2025-08-10,45.08330090930757
267,67,VDOBVSP9IG,2022-07-18,2025-05-23,1.5678564881364152
268,67,NN2GDGH7UC,2021-07-03,2026-02-19,38.554561306187395
269,68,6Q8FUUALTW,2023-08-20,2026-06-10,34.79048316976509
270,68,FTUUGJFDQS,2022-03-14,2024-03-11,56.81251163489408
271,68,U4K4V2DGQO,2023-08-04,2025-05-07,45.93525022394487
272,68,DEKTEZZYOA,2020-02-01,2024-09-24,5.435014700463387
273,69,RZRCBPCBFX,2023-11-13,2026-03-18,75.20478582125858
274,69,JXGIHCO0BY,2021-04-28,2024-09-18,96.76719046727472
275,69,1VO3MEVCBC,2022-03-02,2026-02-03,14.340688589038034
276,69,LKGZBDR18S,2021-04-13,2027-07-25,47.952218434129705
277,70,T6AQU2IHEY,2023-10-09,2025-11-09,46.72948436456288
278,70,ZVGLIIPYJB,2020-11-28,2025-02-07,68.36133253848826
279,70,OKDRB3VU7Q,2021-05-22,2024-06-12,4.095449757841677
280,70,9UIYALCXXL,2023-07-01,2025-04-11,63.35462277040628
281,71,0FQEUJWO4P,2020-06-16,2025-08-06,52.42122214169396
282,71,PJ2VDVL8CM,2020-05-11,2026-02-05,41.09902093368299
283,71,E7UVVRE3L9,2022-07-01,2024-09-24,21.3591607275039
284,71,Z5I8TMFKQB,2022-08-26,2027-09-28,64.00835713060431
285,72,DIQRKUHXPC,2022-12-12,2027-07-10,77.01917250138726
286,72,NLMD4TEE39,2023-12-28,2025-04-15,45.75345034455166
287,72,9JIVXFGP8J,2020-05-14,2027-08-17,83.17475141953315
288,72,GE2WMSAPNG,2023-10-24,2025-12-09,58.332440968799574
289,73,JIGKWI7VEV,2023-07-16,2024-01-05,77.91524350084751
290,73,VYRHGTDGQO,2021-04-29,2026-10-24,44.07613395806249
291,73,H33EDMF1QP,2021-12-20,2024-04-20,69.26292740838568
292,73,YJMFJLFLGY,2021-12-11,2026-06-26,65.082561845525
293,74,Y7GYGIAAKK,2021-03-06,2024-03-23,25.234946244016086
294,74,YZ2P5BKMHE,2023-12-29,2026-10-14,62.848487541980596
295,74,MN0PURDCUQ,2021-01-30,2025-08-22,1.2132964482551833
296,74,HZWDXSCICW,2020-08-19,2027-02-07,58.087554720971795
297,75,KAZKRLQSLG,2021-12-08,2024-09-23,39.84872788300067
298,75,GZ64XWK9JG,2021-04-08,2027-04-13,73.4989110919429
299,75,JFXXLTJG27,2022-03-26,2024-06-24,23.78205121014372
300,75,NXXDBQ9ZCD,2020-10-19,2025-04-20,78.44830668562366
301,76,B0AIG9STNW,2021-01-28,2025-02-02,37.33606769361579
302,76,HSHD3XEB7Y,2021-01-09,2026-11-28,8.79812262129558
303,76,ASEVUWRX0U,2021-02-07,2024-02-15,83.25513017364919
304,76,VPYNAMLR9X,2023-07-17,2027-12-01,91.06287554989582
305,77,D90JZM5BXV,2023-11-30,2025-03-22,53.67964202456713
306,77,FG5EICBQIF,2020-02-17,2025-03-01,33.47963661189212
307,77,KXE8BWQSEB,2022-07-05,2025-11-07,33.8271401307777
308,77,WQFJVIWTDM,2021-01-06,2027-06-07,3.4208674861675332
309,78,SYFSG8WLCX,2021-05-11,2024-04-19,59.25518053276492
310,78,NLSZVOV5TJ,2021-07-04,2024-10-28,73.95320658377855
311,78,89USAD6YGS,2020-11-22,2027-08-08,14.43283257707023
312,78,DIT7JX7N55,2021-11-16,2024-02-16,75.77090761757678
313,79,JZ3WULWPD4,2023-11-25,2024-06-11,79.13092292871032
314,79,AW2NYLGGYR,2020-04-18,2027-06-16,24.046793702772938
315,79,9IMINGTDGV,2020-09-09,2025-09-28,19.33112003447269
316,79,8M7CJQ589W,2021-05-07,2027-09-15,94.86691929880965
317,80,L5VSXQSDJ3,2023-01-15,2026-09-18,54.8338674540584
318,80,WC9K1YAJYR,2020-02-19,2027-11-13,73.97600291017908
319,80,PHAWGU3DIR,2023-08-18,2024-02-09,23.15553608549387
320,80,532I91HKTC,2021-07-12,2024-01-14,57.871837420406784
321,81,YT7O1APEJ4,2022-02-25,2024-07-20,29.09595932192281
322,81,MIMOOIOIDI,2020-04-28,2026-04-11,60.58727922406097
323,81,NG5VMHUCYW,2022-11-18,2027-10-16,55.0420554566467
324,81,RKU24I5H8I,2022-02-27,2025-02-07,39.63140094053999
325,82,G3CNM9CGSW,2022-07-26,2025-04-10,76.66781050568359
326,82,UJ7PB0KL02,2023-08-14,2025-04-24,47.717854755861474
327,82,VWBNTLBJVL,2023-05-16,2026-04-13,32.320953904201275
328,82,ZTAPFTNFSD,2022-03-09,2027-11-02,65.3694731383707
329,83,MRCLFY7V5P,2021-12-24,2025-01-13,96.83206544504048
330,83,HKNR6IOR14,2020-09-22,2024-01-20,93.18246011298287
331,83,WIXQWUEWOT,2020-04-15,2026-12-19,74.6031121565677
332,83,V4VOLEORST,2021-01-30,2026-04-13,38.126770754271135
333,84,YRLJLL313O,2022-06-07,2027-03-19,68.28089616956755
334,84,I5EDBB4FUW,2023-06-12,2025-10-03,85.8655869352073
335,84,IEUAM35KOW,2023-11-05,2025-09-04,8.165551250555172
336,84,Z7OIHMIVO0,2022-07-23,2025-06-09,37.312104523086006
337,85,QZNVIYQYCG,2020-07-22,2024-06-26,2.032567176477972
338,85,DU4LMLKZWX,2020-06-12,2027-08-16,65.67594876842253
339,85,UEXMB3HS0E,2022-09-10,2025-11-23,51.73851294015464
340,85,HAEIUPN7JG,2022-06-18,2024-08-23,49.051957583944244
341,86,XVPFSHHZ52,2023-12-19,2025-04-14,58.24600274727924
342,86,2TDHPWSQC2,2021-01-12,2026-09-26,22.873452446551706
343,86,WWRNQKBR2I,2022-02-18,2025-10-03,95.41292904386273
344,86,HDSBWZ8WUM,2020-10-17,2026-10-29,50.031832663045115
345,87,4AIM1RDJXS,2022-08-27,2026-06-12,62.96959048855459
346,87,RHMEAQLLGL,2021-03-23,2027-10-15,11.470797096636552
347,87,4KRIYSZANL,2020-05-14,2027-10-30,91.76364128486749
348,87,ORPRTXW9SS,2023-04-02,2026-04-26,66.32480133915223
349,88,OUCQDG6ZQ9,2023-08-18,2026-12-10,1.2245129956340928
350,88,OZ4GNOT57T,2020-09-11,2024-09-05,21.092916649968142
351,88,IH4HYQPAOM,2021-09-23,2027-09-02,73.25108885413519
352,88,AVY8GY1IBD,2020-02-06,2025-07-08,1.5979677456841905
353,89,5QU1F3TUFH,2022-09-27,2024-03-02,22.25310211242174
354,89,CSGAGBDZCM,2023-12-29,2024-07-20,29.188785547081338
355,89,5WYOGCDJAB,2020-12-02,2026-09-16,37.01175857223415
356,89,YAMLUBH56P,2023-09-30,2024-02-11,27.17973047094631
357,90,HVHYKT6QHR,2021-08-02,2025-03-08,30.50569589273919
358,90,KZEPCQGSN9,2023-07-06,2025-02-24,83.09845326712332
359,90,5FKZMBBL1N,2021-06-16,2027-08-04,76.03485808949955
360,90,9ZJVVTGAIR,2021-01-17,2027-07-22,7.867339780565161
361,91,B4JTKB1JQR,2022-05-06,2024-07-07,96.25578280844266
362,91,54RGWWN3EN,2020-08-11,2027-12-30,73.44432359330256
363,91,ULGLYAUZ8J,2022-12-15,2027-10-27,98.68216242295394
364,91,67XFBUEGMO,2021-08-27,2025-01-02,14.766461207722761
365,92,CC6L0G3MWI,2021-01-02,2025-08-01,97.69654091398196
366,92,HWOF6WEZUM,2023-03-15,2024-09-21,90.27711009796727
367,92,4Y67VHD9SN,2023-02-15,2025-08-03,29.334007292546932
368,92,USMGL56BIY,2022-11-05,2027-03-17,32.24491373678016
369,93,3IN2MXZ5XJ,2023-10-20,2025-08-14,41.85772709004908
370,93,EDPRA8UTFU,2022-04-26,2025-08-03,97.31246010460062
371,93,QEI0MBMYZZ,2021-05-05,2027-05-13,31.33048389003006
372,93,Z97UYMAM1J,2020-07-08,2024-11-26,70.53111561679874
373,94,WTVAJBJ3CE,2022-08-09,2026-03-02,38.757061819819285
374,94,VWUGACX9GS,2020-04-15,2026-04-28,56.53334395285093
375,94,GDQKW8W34G,2020-04-05,2024-05-18,4.215565330359573
376,94,0FIEY2F72J,2022-10-18,2024-01-15,82.28335284907924
377,95,YJYLBNFGWU,2022-12-31,2024-11-02,73.14469602728124
